		 Market cap as of 9/17/14 	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement		
UTIW	STPD long	 1,190.0 	9/4/2014	Before	6/5/2014	Before	3/31/2014	Before	12/5/2013	Before	9/6/2013	Before	6/6/2013	Before	3/28/2013	Before	12/6/2012	Before	9/6/2012	Before	6/7/2012	Before	3/22/2012	Before	12/1/2011	Before	9/1/2011	Before	6/2/2011	Before	3/24/2011	Before	12/2/2010	Before	9/2/2010	Before	6/3/2010	Before	3/25/2010	Before	12/3/2009	Before	9/3/2009	Before	6/4/2009	Before	3/26/2009	Before		
PTRY	STPD long	 492.3 	7/30/2014	Before	5/1/2014	Before	1/30/2014	Before	12/10/2013	Before	8/6/2013	Before	5/7/2013	Before	2/5/2013	Before	12/11/2012	Before	8/7/2012	Before	5/8/2012	Before	2/7/2012	Before	12/13/2011	Before	8/9/2011	Before	5/10/2011	Before	2/8/2011	Before	12/14/2010	Before	8/3/2010	Before	5/4/2010	Before	2/2/2010	Before	12/2/2009	Before	8/4/2009	Before	5/5/2009	Before	2/3/2009	Before		
ADBE	STPD long	 33,470.0 	9/16/2014	After	6/17/2014	After	3/18/2014	After	12/12/2013	After	9/17/2013	After	6/18/2013	After	3/19/2013	After	12/13/2012	After	9/19/2012	After	6/19/2012	After	3/19/2012	After	12/15/2011	After	9/20/2011	After	6/21/2011	After	3/22/2011	After	12/20/2010	After	9/21/2010	After	6/22/2010	After	3/23/2010	After	12/15/2009	After	9/15/2009	After	6/16/2009	After	3/17/2009	After		
CNC	STPD long	 4,680.0 	7/22/2014	Before	4/22/2014	Before	2/4/2014	Before	10/22/2013	Before	7/23/2013	Before	4/23/2013	Before	2/5/2013	Before	10/23/2012	Before	7/24/2012	Before	4/24/2012	Before	2/7/2012	Before	10/25/2011	Before	7/26/2011	Before	4/26/2011	Before	2/8/2011	Before	10/26/2010	Before	7/27/2010	Before	4/27/2010	Before	2/9/2010	Before	10/27/2009	Before	7/28/2009	Before	4/28/2009	Before	2/10/2009	Before		
OMCL	STPD long	 955.6 	7/31/2014	After	5/1/2014	After	2/4/2014	After	10/31/2013	After	8/1/2013	After	5/2/2013	After	1/31/2013	After	10/25/2012	After	8/1/2012	After	5/2/2012	After	1/26/2012	After	10/27/2011	After	7/28/2011	After	5/2/2011	After	1/27/2011	After	10/27/2010	After	7/22/2010	After	4/26/2010	After	1/28/2010	After	10/22/2009	After	7/23/2009	After	4/30/2009	After	1/29/2009	After		
IRBT	STPD long	 925.0 	7/22/2014	After	4/22/2014	After	2/5/2014	After	10/22/2013	After	7/23/2013	After	4/23/2013	After	2/6/2013	After	10/23/2012	After	7/24/2012	After	4/24/2012	After	2/8/2012	After	10/25/2011	After	7/26/2011	After	4/26/2011	After	2/9/2011	After	10/27/2010	After	7/28/2010	After	4/28/2010	After	2/17/2010	After	10/21/2009	After	7/22/2009	After	4/22/2009	After	2/11/2009	After		
ARRS	STPD long	 4,440.0 	7/31/2014	After	5/6/2014	After	2/19/2014	After	10/30/2013	After	8/7/2013	After	4/24/2013	After	2/6/2013	After	10/24/2012	After	7/25/2012	After	4/25/2012	After	2/8/2012	After	10/26/2011	After	7/27/2011	After	4/27/2011	After	2/9/2011	After	10/27/2010	After	7/28/2010	After	4/27/2010	After	2/10/2010	After	10/26/2009	After	7/30/2009	After	4/29/2009	After	2/11/2009	After		
FINL	STPD long	 1,510.0 	6/27/2014	Before	3/28/2014	Before	12/20/2013	Before	9/27/2013	Before	6/28/2013	Before	3/28/2013	Before	1/4/2013	Before	9/28/2012	Before	6/29/2012	Before	3/30/2012	Before	12/21/2011	After	9/22/2011	After	6/23/2011	After	3/24/2011	After	12/21/2010	After	9/23/2010	After	6/24/2010	After	3/25/2010	After	12/22/2009	After	9/24/2009	After	6/25/2009	After	3/27/2009	Before	1/6/2009	After		
RHT	STPD long	 11,550.0 	9/18/2014	After	6/18/2014	After	3/27/2014	After	12/19/2013	After	9/23/2013	After	6/19/2013	After	3/27/2013	After	12/20/2012	After	9/24/2012	After	6/20/2012	After	3/28/2012	After	12/19/2011	After	9/21/2011	After	6/22/2011	After	3/23/2011	After	12/21/2010	After	9/22/2010	After	6/22/2010	After	3/24/2010	After	12/22/2009	After	9/23/2009	After	6/24/2009	After	3/25/2009	After		
KBH	STPD long	 1,600.0 	9/24/2014	Before	6/27/2014	Before	3/19/2014	Before	12/19/2013	Before	9/24/2013	Before	6/27/2013	Before	3/21/2013	Before	12/20/2012	Before	9/21/2012	Before	6/29/2012	Before	3/23/2012	Before	12/21/2011	Before	9/23/2011	Before	6/29/2011	Before	4/5/2011	Before	1/7/2011	Before	9/24/2010	Before	6/25/2010	Before	3/23/2010	Before	1/12/2010	Before	9/25/2009	Before	6/26/2009	Before	3/27/2009	Before	1/9/2009	Before
