DDD|'3D Systems' OR $DDD
KMT|'Kennametal' OR $KMT
KRC|'Kilroy Realty' OR $KRC
KEX|'Kirby' OR $KEX
LAMR|'Lamar Advertising Co-A' OR $LAMR
LANC|'Lancaster Colony' OR $LANC
LSTR|'Landstar System' OR $LSTR
LDOS|'Leidos Holdings' OR $LDOS
LPS|'Lender Processing Services' OR $LPS
LII|'Lennox International' OR $LII
LXK|'Lexmark International' OR $LXK
LRY|'Liberty Property Trust' OR $LRY
LTM|'Life Time Fitness' OR $LTM
LPNT|'Lifepoint Hospitals' OR $LPNT
LECO|'Lincoln Electric Holdings' OR $LECO
LKQ|'LKQ Corp' OR $LKQ
LPX|'Louisiana-Pacific' OR $LPX
MDC|'MDC Holdings' OR $MDC
MDU|'MDU Resources Group' OR $MDU
MCRS|'MICROS Systems' OR $MCRS
MSM|'MSC Industrial Direct A' OR $MSM
CLI|'Mack-Cali Realty' OR $CLI
MNK|'Mallinckrodt plc' OR $MNK
MAN|'Manpower' OR $MAN
MANT|'Mantech Intl Corp A' OR $MANT
MLM|'Martin Marietta Materials' OR $MLM
MASI|'Masimo' OR $MASI
MATX|'Matson' OR $MATX
MATW|'Matthews Intl Corp A' OR $MATW
MD|'Mednax' OR $MD
MENT|'Mentor Graphics' OR $MENT
MCY|'Mercury General' OR $MCY
MDP|'Meredith' OR $MDP
MTD|'Mettler-Toledo Intl' OR $MTD
MLHR|'Miller, Herman' OR $MLHR
MSA|'Mine Safety Appliances' OR $MSA
MTX|'Minerals Technologies' OR $MTX
MHK|'Mohawk Industries' OR $MHK
MWW|'Monster Worldwide' OR $MWW
MSCI|'MSCI' OR $MSCI
MUSA|'Murphy USA' OR $MUSA
NCR|'NCR' OR $NCR
NFG|'National Fuel Gas' OR $NFG
NATI|'National Instruments' OR $NATI
NNN|'National Retail Properties' OR $NNN
NSR|'NeuStar Inc-Class A' OR $NSR
NYCB|'New York Community Bancorp' OR $NYCB
NYT|'New York Times Co-A' OR $NYT
NEU|'NewMarket' OR $NEU
NDSN|'Nordson' OR $NDSN
NVE|'NV Energy' OR $NVE
NVR|'NVR' OR $NVR
OGE|'OGE Energy' OR $OGE
OIS|'Oil States Intl' OR $OIS
OII|'Oceaneering Intl' OR $OII
ODP|'Office Depot' OR $ODP
ORI|'Old Republic Intl' OR $ORI
OLN|'Olin' OR $OLN
OHI|'Omega Healthcare Investors' OR $OHI
OCR|'Omnicare' OR $OCR
OSK|'Oshkosh' OR $OSK
OMI|'Owens & Minor' OR $OMI
PKG|'Packaging Corp of America' OR $PKG
PNRA|'Panera Bread Co A' OR $PNRA
PMTC|'Parametric Technology' OR $PMTC
PTEN|'Patterson-UTI Energy' OR $PTEN
PLT|'Plantronics' OR $PLT
PNM|'PNM Resources' OR $PNM
PII|'Polaris Industries' OR $PII
PLCM|'Polycom' OR $PLCM
POST|'Post Holdings' OR $POST
PCH|'Potlatch' OR $PCH
PRI|'Primerica' OR $PRI
PB|'Prosperity Bancshares' OR $PB
PL|'Protective Life' OR $PL
PMTC|'PTC' OR $PMTC
STR|'Questar' OR $STR
RFMD|'RF Micro Devices' OR $RFMD
RPM|'RPM International' OR $RPM
RAX|'Rackspace Hosting' OR $RAX
RJF|'Raymond James Financial' OR $RJF
RYN|'Rayonier' OR $RYN
O|'Realty Income' OR $O
RBC|'Regal Beloit' OR $RBC
REG|'Regency Centers' OR $REG
RGS|'Regis' OR $RGS
RGA|'Reinsurance Group of America' OR $RGA
RS|'Reliance Steel & Aluminum Co.' OR $RS
RCII|'Rent-A-Center' OR $RCII
RMD|'ResMed' OR $RMD
RVBD|'Riverbed Technology' OR $RVBD
RKT|'Rock Tenn Company -Cl A' OR $RKT
ROL|'Rollins' OR $ROL
ROSE|'Rosetta Resources' OR $ROSE
ROVI|'Rovi' OR $ROVI
RGLD|'Royal Gold' OR $RGLD
SEIC|'SEI Investments' OR $SEIC
SLG|'SL Green Realty' OR $SLG
SM|'SM Energy Co' OR $SM
SWI|'SolarWinds' OR $SWI
SPW|'SPX' OR $SPW
STE|'STERIS' OR $STE
SUNE|'SunEdison' OR $SUNE
SIVB|'SVB Financial Group' OR $SIVB
SKS|'Saks' OR $SKS
SLXP|'Salix Pharmaceuticals Ltd' OR $SLXP
SCHL|'Scholastic' OR $SCHL
SAIC|'Science Applications International' OR $SAIC
SGMS|'Scientific Games Corp A' OR $SGMS
SMG|'Scotts Co A' OR $SMG
SMTC|'Semtech' OR $SMTC
SNH|'Senior Housing Properties Trst' OR $SNH
SXT|'Sensient Technologies' OR $SXT
SCI|'Service Corp Intl' OR $SCI
SBNY|'Signature Bank NY' OR $SBNY
SIG|'Signet Jewelers Ltd' OR $SIG
SLGN|'Silgan Holdings' OR $SLGN
SLAB|'Silicon Laboratories' OR $SLAB
SWKS|'Skyworks Solutions' OR $SWKS
SLH|'Solera Holdings' OR $SLH
SON|'Sonoco Products Co' OR $SON
BID|'Sotheby's' OR $BID
SFG|'StanCorp Financial Group' OR $SFG
STLD|'Steel Dynamics' OR $STLD
SPN|'Superior Energy Services' OR $SPN
SVU|'Supervalu' OR $SVU
SNPS|'Synopsys' OR $SNPS
SNV|'Synovus Financial Corp (GA)' OR $SNV
TCB|'TCF Financial Corp (MN)' OR $TCB
TCO|'Taubman Centers' OR $TCO
TIBX|'TIBCO Software' OR $TIBX
TECD|'Tech Data' OR $TECD
TECH|'Techne' OR $TECH
TFX|'Teleflex' OR $TFX
TDS|'Telephone & Data Systems' OR $TDS
TPX|'Tempur Sealy Intl' OR $TPX
TEX|'Terex' OR $TEX
BCO|'The Brink's Co' OR $BCO
HSH|'The Hillshire Brands Co.' OR $HSH
THO|'Thor Industries' OR $THO
THOR|'Thoratec' OR $THOR
TDW|'Tidewater' OR $TDW
TKR|'Timken Co' OR $TKR
TOL|'Toll Brothers' OR $TOL
TR|'Tootsie Roll Industries' OR $TR
TW|'Towers Watson & Co' OR $TW
TSCO|'Tractor Supply Co' OR $TSCO
TRMB|'Trimble Navigation Ltd' OR $TRMB
TRN|'Trinity Industries' OR $TRN
TGI|'Triumph Group' OR $TGI
TRMK|'Trustmark Corp (MS)' OR $TRMK
TUP|'Tupperware' OR $TUP
TWTC|'TW Telecom' OR $TWTC
UDR|'UDR Inc' OR $UDR
UGI|'UGI corp' OR $UGI
URS|'URS corp' OR $URS
UTIW|'UTi Worldwide' OR $UTIW
VCI|'Valassis Communications' OR $VCI
UA|'Under Armour Inc A' OR $UA
UNT|'Unit' OR $UNT
UNFI|'United Natural Foods' OR $UNFI
URI|'United Rentals' OR $URI
UTHR|'United Therapeutics' OR $UTHR
UVV|'Universal Corp/VA' OR $UVV
UHS|'Universal Health Services-B' OR $UHS
WOOF|'VCA Antech' OR $WOOF
VLY|'Valley National Bancorp' OR $VLY
VMI|'Valmont Industries' OR $VMI
VAL|'Valspar' OR $VAL
VCLK|'Valueclick' OR $VCLK
VVC|'Vectren' OR $VVC
PAY|'VeriFone Systems' OR $PAY
VSH|'Vishay Intertechnology' OR $VSH
WGL|'WGL Holdings' OR $WGL
WWAV|'WhiteWave Foods Co' OR $WWAV
WMS|'WMS Industries' OR $WMS
WWD|'Woodward' OR $WWD
WRB|'WR Berkley' OR $WRB
WAB|'Wabtec' OR $WAB
WDR|'Waddell & Reed Finl A' OR $WDR
WAFD|'Washington Federal' OR $WAFD
WCN|'Waste Connections' OR $WCN
WSO|'Watsco' OR $WSO
WBS|'Webster Financial Corp (CT)' OR $WBS
WRI|'Weingarten Realty Investors' OR $WRI
WCG|'Wellcare Health Plans' OR $WCG
WEN|'Wendy's Co/The' OR $WEN
WERN|'Werner Enterprises' OR $WERN
WABC|'Westamerica Bancorporatn (CA)' OR $WABC
WR|'Westar Energy' OR $WR
WEX|'WEX' OR $WEX
WSM|'Williams-Sonoma' OR $WSM
INT|'World Fuel Services' OR $INT
WOR|'Worthington Industries' OR $WOR
WRB|'WR Berkley' OR $WRB
ZBRA|'Zebra Technologies Corp-Cl A' OR $ZBRA
